model,n_seeds,total_wins,total_questions,mean_win_rate,ci_lo,ci_hi
gpt-6,100,133.033,1000,0.133,0.1095,0.1581
gpt-6-high,100,195.933,1000,0.1959,0.1735,0.2189
claude-opus-5,100,199.15,1000,0.1991,0.1753,0.2233
claude-opus-5-high,100,291.767,1000,0.2918,0.2624,0.3221
qwen-4,100,50.4,1000,0.0504,0.037,0.0649
qwen-4-high,100,129.717,1000,0.1297,0.1111,0.149
